"speciesCode","comName","sciName"
"snogoo","Snow Goose","Anser caerulescens"
"gwfgoo","Greater White-fronted Goose","Anser albifrons"
"brant","Brant","Branta bernicla"
"cacgoo1","Cackling Goose","Branta hutchinsii"
"cangoo","Canada Goose","Branta canadensis"
"mutswa","Mute Swan","Cygnus olor"
"truswa","Trumpeter Swan","Cygnus buccinator"
"tunswa","Tundra Swan","Cygnus columbianus"
"wooduc","Wood Duck","Aix sponsa"
"buwtea","Blue-winged Teal","Spatula discors"
"cintea","Cinnamon Teal","Spatula cyanoptera"
"norsho","Northern Shoveler","Spatula clypeata"
"gadwal","Gadwall","Mareca strepera"
"eurwig","Eurasian Wigeon","Mareca penelope"
"amewig","American Wigeon","Mareca americana"
"x00421","Eurasian x American Wigeon (hybrid)","Mareca penelope x americana"
"mallar3","Mallard","Anas platyrhynchos"
"norpin","Northern Pintail","Anas acuta"
"x00628","Mallard x Northern Pintail (hybrid)","Anas platyrhynchos x acuta"
"gnwtea","Green-winged Teal","Anas crecca"
"canvas","Canvasback","Aythya valisineria"
"redhea","Redhead","Aythya americana"
"rinduc","Ring-necked Duck","Aythya collaris"
"gresca","Greater Scaup","Aythya marila"
"lessca","Lesser Scaup","Aythya affinis"
"harduc","Harlequin Duck","Histrionicus histrionicus"
"sursco","Surf Scoter","Melanitta perspicillata"
"whwsco2","White-winged Scoter","Melanitta deglandi"
"blksco2","Black Scoter","Melanitta americana"
"lotduc","Long-tailed Duck","Clangula hyemalis"
"buffle","Bufflehead","Bucephala albeola"
"comgol","Common Goldeneye","Bucephala clangula"
"bargol","Barrow's Goldeneye","Bucephala islandica"
"cxbgol1","Common x Barrow's Goldeneye (hybrid)","Bucephala clangula x islandica"
"hoomer","Hooded Merganser","Lophodytes cucullatus"
"commer","Common Merganser","Mergus merganser"
"rebmer","Red-breasted Merganser","Mergus serrator"
"rudduc","Ruddy Duck","Oxyura jamaicensis"
"soogro1","Sooty Grouse","Dendragapus fuliginosus"
"rinphe1","Ring-necked Pheasant","Phasianus colchicus"
"pibgre","Pied-billed Grebe","Podilymbus podiceps"
"horgre","Horned Grebe","Podiceps auritus"
"rengre","Red-necked Grebe","Podiceps grisegena"
"eargre","Eared Grebe","Podiceps nigricollis"
"wesgre","Western Grebe","Aechmophorus occidentalis"
"rocpig","Rock Pigeon","Columba livia"
"batpig1","Band-tailed Pigeon","Patagioenas fasciata"
"eucdov","Eurasian Collared-Dove","Streptopelia decaocto"
"moudov","Mourning Dove","Zenaida macroura"
"comnig","Common Nighthawk","Chordeiles minor"
"blkswi","Black Swift","Cypseloides niger"
"vauswi","Vaux's Swift","Chaetura vauxi"
"whtswi","White-throated Swift","Aeronautes saxatalis"
"annhum","Anna's Hummingbird","Calypte anna"
"calhum","Calliope Hummingbird","Selasphorus calliope"
"rufhum","Rufous Hummingbird","Selasphorus rufus"
"virrai","Virginia Rail","Rallus limicola"
"sora","Sora","Porzana carolina"
"y00475","American Coot","Fulica americana"
"sancra","Sandhill Crane","Antigone canadensis"
"blkoys","Black Oystercatcher","Haematopus bachmani"
"bkbplo","Black-bellied Plover","Pluvialis squatarola"
"killde","Killdeer","Charadrius vociferus"
